epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,lr,epoch_time_s
1,1.9672860153137692,0.2955843328205205,1.1679500438391217,1.3777934908866882,0.45746245980262756,0.8115489482879639,0.7091881036758423,0.7905471920967102,0.6796703338623047,0.001,22.56
2,1.3303926710098508,0.4733461785484907,0.15887704621704798,1.3086197078227997,0.48229366540908813,0.8257381916046143,0.7386648058891296,0.7420135140419006,0.7064343690872192,0.001,22.09
3,1.2986578884578885,0.4833485185683062,0.15339857446295874,1.2932627126574516,0.4896906316280365,0.8269071578979492,0.743270993232727,0.7345560789108276,0.703851044178009,0.001,24.47
4,1.283039611483377,0.48934295230840463,0.15779880729932633,1.2781310006976128,0.4953945279121399,0.8282777667045593,0.747986376285553,0.7276025414466858,0.7084349989891052,0.001,21.26
5,1.269297722786192,0.49439142059117863,0.18075171739809096,1.2713218554854393,0.4996472895145416,0.8265846967697144,0.7493613362312317,0.727642834186554,0.701611340045929,0.001,20.9
6,1.2616470503428625,0.49833958168411724,0.23385332560255415,1.2589720264077187,0.5015418529510498,0.8305351138114929,0.7542219758033752,0.7179079055786133,0.7191621661186218,0.001,20.41
7,1.2535259610130673,0.5008389219976799,0.3142423357755419,1.255650408565998,0.5030333399772644,0.8297490477561951,0.7542811036109924,0.71819007396698,0.7211431860923767,0.001,21.41
8,1.2478742826552618,0.5017301210337909,0.2688165841594575,1.2614891529083252,0.5023884177207947,0.827673077583313,0.7508325576782227,0.7222412824630737,0.7139871716499329,0.001,21.9
9,1.2445811600912184,0.5036120944173101,0.32573974782985354,1.2559095099568367,0.5022069811820984,0.8293459415435791,0.7521397471427917,0.7200040221214294,0.7155717611312866,0.001,21.36
10,1.2405040264129639,0.5040552045525832,0.27992966108851963,1.2431216314435005,0.5061372518539429,0.8326312899589539,0.7573314309120178,0.7106923460960388,0.7200565934181213,0.001,20.75
11,1.2391911536928206,0.5039456717101561,0.355230884301284,1.2402968481183052,0.5068628191947937,0.8345460295677185,0.7584893107414246,0.7074070572853088,0.7251773476600647,0.001,20.39
12,1.2355181243684557,0.5058425813903701,0.2894056745701366,1.2372859939932823,0.5060768127441406,0.8357149958610535,0.7585510015487671,0.7065000534057617,0.7195819020271301,0.001,19.96
13,1.2328791164216542,0.5060118594195755,0.24423199253422873,1.236297346651554,0.5067217350006104,0.8360375165939331,0.7587974071502686,0.7053713798522949,0.7180531024932861,0.001,19.88
14,1.2321334150102403,0.507216720686273,0.2586010067708909,1.236307367682457,0.508213222026825,0.8355134725570679,0.7584934830665588,0.7055729031562805,0.71761155128479,0.001,19.52
15,1.2302597590855189,0.5074208500744325,0.26101599219772553,1.235452339053154,0.508233368396759,0.835896372795105,0.7583563923835754,0.705331027507782,0.7193817496299744,0.001,19.73
