epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,lr,epoch_time_s
1,1.8860648435259622,0.3024052416443867,0.9325298718989842,1.3768499419093132,0.45625314116477966,0.8143101930618286,0.7131001353263855,0.7832510471343994,0.6840229630470276,0.001,30.77
2,1.330553066162836,0.4733461785484907,0.14864072818604726,1.3075861409306526,0.48029831051826477,0.8247506022453308,0.7386971116065979,0.7444321513175964,0.7053541541099548,0.001,31.33
3,1.295060978995429,0.48523049195182544,0.1262106512274061,1.2891684472560883,0.49160537123680115,0.8247707486152649,0.7439242005348206,0.737579345703125,0.7041040658950806,0.001,31.97
4,1.279524945077442,0.49561121815457077,0.11656937050440955,1.2755849808454514,0.4978131651878357,0.8258792757987976,0.7485194802284241,0.730182409286499,0.7039015889167786,0.001,32.58
5,1.267184859230405,0.49903660886319845,0.1555907971092633,1.2643258199095726,0.4994054138660431,0.8298498392105103,0.7525749802589417,0.7215358018875122,0.7112187147140503,0.001,32.04
6,1.2571666827277532,0.5013168834919071,0.2242447460691134,1.2554885149002075,0.5024891495704651,0.8327925205230713,0.7564740777015686,0.7135745286941528,0.7146363258361816,0.001,32.02
7,1.2486442043667747,0.502282764011491,0.21681959146545046,1.2509143948554993,0.5026302337646484,0.8337599635124207,0.7569482326507568,0.7116799354553223,0.7172783017158508,0.001,28.29
8,1.2440935600371588,0.5035374129338371,0.27774457574363737,1.250157579779625,0.5052302479743958,0.8326514363288879,0.7568074464797974,0.7126070857048035,0.7110781073570251,0.001,28.08
9,1.2392564084794786,0.5049812549476482,0.28320310087431044,1.2417673096060753,0.5031945705413818,0.8388189077377319,0.7605438828468323,0.7022069692611694,0.7277640104293823,0.001,28.67
10,1.2362898247582572,0.5051306179145942,0.26953269139168756,1.2399615943431854,0.5061171054840088,0.8362591862678528,0.7595573663711548,0.7055527567863464,0.7265443801879883,0.001,23.93
