experiment,best_epoch,qwk,acc,tau,r_alpha,r_beta_mean,r_beta_thresholds
q1000_k2_linear_decay,6,0.4121668934822082,0.7061590552330017,0.2599816268357413,0.4799077352212696,0.4933327565098855,0.4933
q1000_k2_separable,9,0.4174803793430328,0.7087520956993103,0.2630329424236649,0.6413419450358844,0.6565366947907724,0.6565
q1000_k2_static_item,7,0.4223620295524597,0.711204469203949,0.2657529888643838,0.4226274769904011,0.7321037565788435,0.7321
q1000_k3_linear_decay,11,0.5971989631652832,0.5944649577140808,0.4333670158545771,0.5515059717916897,0.7731439643306173,"0.7561,0.7902"
q1000_k3_separable,9,0.5983547568321228,0.5929397344589233,0.434985128623068,0.6334767205016194,0.7468244923325762,"0.6957,0.7980"
q1000_k3_static_item,14,0.5995331406593323,0.5973749756813049,0.43397073597914,0.7392065021920233,0.8466108922918005,"0.8479,0.8454"
q1000_k4_linear_decay,10,0.6908769607543945,0.5337870121002197,0.5203560372248293,0.1980057807992374,0.8297850586872927,"0.7733,0.8480,0.8681"
q1000_k4_separable,12,0.6960572004318237,0.5364771485328674,0.5228901623622221,0.7177271466945341,0.9133836549301316,"0.9037,0.9222,0.9143"
q1000_k4_static_item,10,0.6934590339660645,0.5354533195495605,0.5202779612765436,0.6177923665380852,0.8763136809866158,"0.8355,0.8945,0.8990"
q1000_k5_linear_decay,11,0.7543680667877197,0.4950735569000244,0.5738109776043977,0.2690392031520321,0.8799338578903653,"0.8277,0.9035,0.9049,0.8836"
q1000_k5_separable,15,0.7537468075752258,0.4967591762542724,0.5722718770280076,0.6443118528599434,0.9400105474659703,"0.9313,0.9550,0.9500,0.9237"
q1000_k5_static_item,12,0.752518355846405,0.4969799220561981,0.5707669007668169,0.5482587544481877,0.9026836862330836,"0.8939,0.9189,0.9142,0.8837"
q1000_k6_linear_decay,8,0.7892526388168335,0.465824156999588,0.6055296621931119,0.056084928936283,0.918433197916872,"0.8669,0.9158,0.9383,0.9429,0.9283"
q1000_k6_separable,13,0.7900357246398926,0.4675922095775604,0.605635251744844,0.5075166298880008,0.9432049966887008,"0.9229,0.9534,0.9590,0.9522,0.9285"
q1000_k6_static_item,15,0.7894530892372131,0.4653419554233551,0.605651058073503,0.7023692924785198,0.913289445540947,"0.9023,0.9272,0.9327,0.9207,0.8835"
q2000_k2_linear_decay,3,0.4153280258178711,0.7076796293258667,0.2618208035218518,0.0921672664837259,0.6536496910060745,0.6536
q2000_k2_separable,7,0.4216728806495666,0.7108606696128845,0.2653671057782385,0.2150937686341426,0.7011908694004441,0.7012
q2000_k2_static_item,7,0.4287095367908478,0.7143558263778687,0.2693130277661388,0.2993661374058708,0.7320252372410777,0.7320
q2000_k3_linear_decay,10,0.5955659747123718,0.5941389799118042,0.4314002914222581,0.0694596330049009,0.7593926149529513,"0.7069,0.8119"
q2000_k3_separable,14,0.6076271533966064,0.6005292534828186,0.4397955366209136,0.4526640597738452,0.6741511501833966,"0.6553,0.6930"
q2000_k3_static_item,12,0.6129354238510132,0.6061550378799438,0.4420756359384309,0.49134324318563,0.7098598046523643,"0.6789,0.7408"
q2000_k4_linear_decay,14,0.6868069171905518,0.5311523675918579,0.5157891150955041,0.2480611358793051,0.8559945586985086,"0.8430,0.8730,0.8520"
q2000_k4_separable,13,0.6994946002960205,0.5341192483901978,0.5251968345559758,0.4328026225878613,0.8788222393616615,"0.8523,0.9012,0.8830"
q2000_k4_static_item,10,0.7001032829284668,0.538756251335144,0.5238450964542902,0.2938887572539322,0.898734860056582,"0.8710,0.9116,0.9136"
q2000_k5_linear_decay,15,0.754716157913208,0.4979850947856903,0.5727678523953748,0.2161856725219874,0.9014603663446652,"0.8564,0.9021,0.9275,0.9198"
q2000_k5_separable,15,0.7587973475456238,0.4994004368782043,0.5753736355439105,0.2746447549986924,0.909343634077037,"0.8745,0.9177,0.9287,0.9165"
q2000_k5_static_item,14,0.7628876566886902,0.5046097040176392,0.577459076007833,0.3512259424333774,0.9236154808768634,"0.9029,0.9378,0.9371,0.9166"
q2000_k6_linear_decay,13,0.7967162728309631,0.4673510491847992,0.6106423647108893,0.0738560543002926,0.919238717945783,"0.8790,0.9226,0.9408,0.9339,0.9199"
q2000_k6_separable,12,0.79988694190979,0.472640722990036,0.6118286390915202,0.2152867912590537,0.9321085598015468,"0.9024,0.9354,0.9433,0.9475,0.9320"
q2000_k6_static_item,13,0.8017898797988892,0.4755598306655884,0.6129710282707994,0.2815547247470796,0.9331163777478848,"0.9116,0.9443,0.9467,0.9404,0.9226"
q200_k2_linear_decay,15,0.4059631824493408,0.7038207054138184,0.2557202801276332,0.7714048170377902,0.7072930933895625,0.7073
q200_k2_separable,9,0.4100745916366577,0.7054503560066223,0.2584609868138225,0.8418554130905855,0.6568182438883438,0.6568
q200_k2_static_item,14,0.4100954234600067,0.7057924270629883,0.2581375268224328,0.8109519628797978,0.806213658833006,0.8062
q200_k3_linear_decay,9,0.5916988849639893,0.5967618227005005,0.4298778129151627,0.507014284851915,0.7508165363031746,"0.7585,0.7431"
q200_k3_separable,8,0.5925174355506897,0.5954529047012329,0.4306451436915883,0.5863689895196043,0.6298059580087134,"0.6005,0.6591"
q200_k3_static_item,9,0.5923705697059631,0.5955334305763245,0.429901715698388,0.7544507963677267,0.8159802888292382,"0.8143,0.8177"
q200_k4_focal_only,7,0.6786156296730042,0.529017448425293,0.5074985091906292,0.5334902296517635,0.8643744999622079,"0.8208,0.8835,0.8889"
q200_k4_linear_decay,7,0.6836820244789124,0.5227771401405334,0.5154739821264026,0.3186925664633919,0.8608410615966223,"0.8326,0.8754,0.8745"
