epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,val_kendall_tau,lr,epoch_time_s
1,1.4287263079295083,0.37501306119605726,0.9283707268417828,1.0753557085990906,0.5287432670593262,0.8808633089065552,0.6267940402030945,0.6063641309738159,0.5627588033676147,0.44022190708256054,0.001,23.3
2,1.0480427883920216,0.5383999164083453,0.11229966699130951,1.0313451252877712,0.5460013151168823,0.8865958452224731,0.651240885257721,0.5819655656814575,0.627497136592865,0.4525391101286374,0.001,22.23
3,1.0228188283859738,0.551635261746369,0.09388924608864481,1.0186861231923103,0.5581703782081604,0.8826132416725159,0.6592298746109009,0.5759111642837524,0.6086133122444153,0.4531573207512313,0.001,22.61
4,1.0151950688589186,0.5582131288654921,0.09673534363271698,1.0113977752625942,0.5583916902542114,0.8837597370147705,0.6645781993865967,0.5741612315177917,0.5978399515151978,0.4594941005407835,0.001,23.51
5,1.0089611165107242,0.5598700348796131,0.14466743289478243,1.008740920573473,0.5618915557861328,0.8837798833847046,0.6651275753974915,0.5714659094810486,0.616117000579834,0.4573834126095643,0.001,23.27
6,1.0044498348992967,0.5608303437706802,0.14747413774094884,1.0050613693892956,0.5636817216873169,0.8865355253219604,0.6650263071060181,0.5659948587417603,0.611802875995636,0.45622839109861313,0.001,20.5
7,1.0020617435848902,0.5624822740910651,0.21542925026918214,1.0014578253030777,0.562595546245575,0.8856102824211121,0.6682261228561401,0.5685091614723206,0.6002011895179749,0.4614256783170755,0.001,21.03
8,0.9993046682978434,0.5631440413579664,0.2036670440482715,1.0004302561283112,0.5656529068946838,0.8863745927810669,0.6657515168190002,0.5649489164352417,0.6083537936210632,0.4569909308651797,0.001,20.47
9,0.9978368594532921,0.5645272842166019,0.2331141166034199,0.998274177312851,0.5626760125160217,0.8880038857460022,0.6685723662376404,0.5654115080833435,0.6008598208427429,0.46277285094245235,0.001,20.88
10,0.9957060151629977,0.5651243674649338,0.21039687238988422,0.9984399303793907,0.5638426542282104,0.8846045732498169,0.6686840653419495,0.5691729187965393,0.6251722574234009,0.4612826388610698,0.001,21.01
11,0.9937737271899268,0.5659005756877653,0.2245114151211012,0.9981011636555195,0.5676040053367615,0.8854493498802185,0.667381763458252,0.5645064115524292,0.6124982237815857,0.45735172189332635,0.001,21.38
12,0.9933126398495266,0.5666419540544441,0.24915722521051528,0.9947972185909748,0.5634604692459106,0.8870182633399963,0.670540988445282,0.5659747123718262,0.6023622155189514,0.46473039530626464,0.001,27.81
13,0.9931097778062972,0.5666867352980689,0.31075072530952713,0.9951544925570488,0.5665379166603088,0.8862338066101074,0.6689344644546509,0.5645466446876526,0.6172887086868286,0.4599962513623831,0.001,23.92
14,0.9904946788908944,0.5681346621752738,0.16308228990861348,0.9944021254777908,0.5635610222816467,0.8864148259162903,0.6703499555587769,0.5671815872192383,0.6340816617012024,0.46429260165072556,0.001,24.25
15,0.9900570738883245,0.5681694920314265,0.261400308341734,0.9950176998972893,0.5622335076332092,0.8848660588264465,0.6692083477973938,0.5707418322563171,0.6384264826774597,0.4647329161028363,0.001,22.41
