epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,val_kendall_tau,lr,epoch_time_s
1,1.3071913378579276,0.3623146524234694,0.331815872400526,1.109941616654396,0.48976388573646545,0.8777099847793579,0.6506972908973694,0.6470398902893066,0.6288315653800964,0.4951901716927649,0.001,22.06
2,1.0904939685549055,0.5034927056760204,0.1163226364269143,1.080748051404953,0.5116653442382812,0.8716307282447815,0.6663030982017517,0.6352839469909668,0.6583473086357117,0.5013427164113399,0.001,20.98
3,1.0757845507727728,0.5170400191326531,0.08507554984045407,1.0725282654166222,0.5191336274147034,0.8681885004043579,0.6697045564651489,0.6337540745735168,0.6383628249168396,0.5014653151322681,0.001,21.6
4,1.0660406521388464,0.5234424824617347,0.10710206964895838,1.064398244023323,0.5217505097389221,0.8713690638542175,0.6743808388710022,0.62674880027771,0.6401718854904175,0.5059066695335341,0.001,21.22
5,1.0563348739866227,0.5259337133290817,0.09997644056639975,1.05658008903265,0.5238239169120789,0.8739255666732788,0.6773878335952759,0.6214948296546936,0.6484959125518799,0.5087888900018226,0.001,20.96
6,1.0499151472061399,0.528190768494898,0.1990296599410829,1.0527892783284187,0.5270245671272278,0.8743281364440918,0.6780862212181091,0.6182740330696106,0.6412261724472046,0.5091511298022855,0.001,20.92
7,1.0457467398946247,0.5297602439413265,0.18658743302027384,1.0510819107294083,0.5272862911224365,0.8717514872550964,0.6770998239517212,0.620991587638855,0.6491106152534485,0.508836448580957,0.001,21.11
8,1.0425847702556186,0.5310805963010204,0.23486302591978558,1.04702228307724,0.529158353805542,0.8744891881942749,0.6789152026176453,0.6164019703865051,0.6484563946723938,0.5100541448645453,0.001,21.35
9,1.041641598656064,0.5322215800382653,0.26691421517540537,1.0551071539521217,0.5243673920631409,0.8693158030509949,0.6708256006240845,0.628580629825592,0.6505618691444397,0.5070409868603868,0.001,21.32
10,1.0419722558960083,0.5325504225127551,0.3320587023146569,1.045771598815918,0.5306278467178345,0.8742275238037109,0.6784000396728516,0.6154558658599854,0.6426262259483337,0.5095505629479506,0.001,21.19
11,1.0391202455475217,0.5331732302295918,0.23829206729692126,1.0454392805695534,0.5306882262229919,0.8720534443855286,0.6757838129997253,0.619059145450592,0.6400920152664185,0.5071621748106625,0.001,21.39
12,1.0364886626364693,0.5344387755102041,0.18172516874850742,1.0501290559768677,0.5326811075210571,0.8676651120185852,0.6731457710266113,0.6230247616767883,0.6303232908248901,0.504126041827708,0.001,20.91
13,1.0373065045901708,0.5353655133928571,0.2528737460573514,1.0503712594509125,0.5279102921485901,0.8680475950241089,0.6701841950416565,0.6275137662887573,0.6465549468994141,0.5046911428415325,0.001,21.65
14,1.0362042377865504,0.5363121811224489,0.2596568416744944,1.0440195128321648,0.5302051305770874,0.8719326853752136,0.6742329597473145,0.6197838187217712,0.6444463133811951,0.5066452273603578,0.001,21.62
15,1.0359379176109555,0.5355897241709183,0.2306872702661961,1.0462158545851707,0.530426561832428,0.8688527941703796,0.671841025352478,0.6243935823440552,0.6438726186752319,0.5049002692354233,0.001,21.47
