experiment,r_alpha,r_beta_mean,r_beta_thresholds
large_q200_k2_static_gpcm,0.18254901153598305,0.9600150990832592,0.9600
large_q200_k2_dynamic_gpcm,0.48984065089000145,0.9715338223661607,0.9715
large_q200_k2_dkvmn_softmax,,,nan
large_q200_k2_dkvmn_ordinal,0.8109519629037303,0.806213658833006,0.8062
large_q200_k3_static_gpcm,0.15475739055093793,0.9403895859066316,"0.9400,0.9408"
large_q200_k3_dynamic_gpcm,0.5783599134136227,0.962396294071532,"0.9596,0.9652"
large_q200_k3_dkvmn_softmax,,,"nan,nan"
large_q200_k3_dkvmn_ordinal,0.7544507962619451,0.8159802888292382,"0.8143,0.8177"
large_q200_k4_static_gpcm,0.1458548508186451,0.9006792610614885,"0.8898,0.9064,0.9058"
large_q200_k4_dynamic_gpcm,0.63446844537394,0.9492485233566287,"0.9386,0.9576,0.9516"
large_q200_k4_dkvmn_softmax,,,"nan,nan,nan"
large_q200_k4_dkvmn_ordinal,0.7068794681257089,0.9183753035420718,"0.9225,0.9292,0.9034"
large_q200_k5_static_gpcm,0.12052064012213844,0.8786684766501323,"0.8700,0.8723,0.8906,0.8818"
large_q200_k5_dynamic_gpcm,0.4544392691056015,0.9556143755468114,"0.9413,0.9597,0.9680,0.9534"
large_q200_k5_dkvmn_softmax,,,"nan,nan,nan,nan"
large_q200_k5_dkvmn_ordinal,0.745623614405227,0.9121783046600802,"0.9133,0.9286,0.9215,0.8853"
large_q200_k6_static_gpcm,0.10759175679304751,0.8431909845864116,"0.8346,0.8384,0.8459,0.8514,0.8457"
large_q200_k6_dynamic_gpcm,0.24580743171399966,0.9477439822391551,"0.9466,0.9583,0.9563,0.9469,0.9306"
large_q200_k6_dkvmn_softmax,,,"nan,nan,nan,nan,nan"
large_q200_k6_dkvmn_ordinal,0.75944007640981,0.926897667568275,"0.9413,0.9467,0.9341,0.9144,0.8980"
large_q500_k2_static_gpcm,0.14850427416996173,0.9638411746864644,0.9638
large_q500_k2_dynamic_gpcm,0.44167688333639277,0.9724989936932653,0.9725
large_q500_k2_dkvmn_softmax,,,nan
large_q500_k2_dkvmn_ordinal,0.7413967019043882,0.7375542790006122,0.7376
large_q500_k3_static_gpcm,0.10473705037241807,0.9442449116177603,"0.9425,0.9460"
large_q500_k3_dynamic_gpcm,0.5196925586755661,0.9598331518018692,"0.9578,0.9618"
large_q500_k3_dkvmn_softmax,,,"nan,nan"
