experiment,r_alpha,r_beta_mean,r_theta,r_beta_thresholds
large_q1000_k2_dkvmn_ordinal,0.4226274771385647,0.7321037565788439,0.8690100127557681,0.7321
large_q1000_k2_dkvmn_softmax,,,-4.630398387078368e-17,nan
large_q1000_k2_dynamic_gpcm,0.42142245891875807,0.9623825591850963,0.016193896488413725,0.9624
large_q1000_k2_static_gpcm,0.17410683773329985,0.9543279352085409,0.0583754110881396,0.9543
large_q1000_k3_dkvmn_ordinal,0.7392065021000026,0.8466108922918005,0.9178432105455895,"0.8479,0.8454"
large_q1000_k3_dkvmn_softmax,,,-4.630398387078368e-17,"nan,nan"
large_q1000_k3_dynamic_gpcm,0.45746466248906753,0.9535030190975283,0.01585121981290643,"0.9505,0.9565"
large_q1000_k3_static_gpcm,0.15011378095248196,0.9387030350457706,0.06111694160694839,"0.9364,0.9410"
large_q1000_k4_dkvmn_ordinal,0.6177923665574689,0.8763136809978583,0.9321763090470604,"0.8355,0.8945,0.8990"
large_q1000_k4_dkvmn_softmax,,,6.873016159962772e-18,"nan,nan,nan"
large_q1000_k4_dynamic_gpcm,0.3950071387062778,0.9530927710295779,0.018820755141995243,"0.9464,0.9592,0.9537"
large_q1000_k4_static_gpcm,0.07500531587378416,0.9183716356191441,0.062127628367499764,"0.9154,0.9222,0.9175"
large_q1000_k5_dkvmn_ordinal,0.5482587544573269,0.9026836862299377,0.941677000416524,"0.8939,0.9189,0.9142,0.8837"
large_q1000_k5_dkvmn_softmax,,,-4.630398387078368e-17,"nan,nan,nan,nan"
large_q1000_k5_dynamic_gpcm,0.2998071149724763,0.954027677896069,0.02542485603371148,"0.9439,0.9619,0.9628,0.9475"
large_q1000_k5_static_gpcm,0.09407938640347947,0.8902804870678982,0.061028604054215736,"0.8775,0.8916,0.8979,0.8942"
large_q1000_k6_dkvmn_ordinal,0.7023692925321756,0.9132894455482589,0.9522855455497394,"0.9023,0.9272,0.9327,0.9207,0.8835"
large_q1000_k6_dkvmn_softmax,,,-6.873016159962772e-18,"nan,nan,nan,nan,nan"
large_q1000_k6_dynamic_gpcm,0.21614296251853915,0.9524582258608458,0.026776656464101007,"0.9396,0.9579,0.9624,0.9582,0.9442"
large_q1000_k6_static_gpcm,0.07959423866102514,0.8781523046623245,0.059011706734485324,"0.8682,0.8821,0.8840,0.8813,0.8752"
large_q2000_k2_dkvmn_ordinal,0.29936613749393143,0.7320252372410785,0.9230949032094823,0.7320
large_q2000_k2_dkvmn_softmax,,,2.7916494877498587e-17,nan
large_q2000_k2_dynamic_gpcm,0.2532151525567776,0.9438418356491312,0.00010339099232303896,0.9438
large_q2000_k2_static_gpcm,0.05368677478371728,0.9282634660966488,0.05962413383102063,0.9283
large_q2000_k3_dkvmn_ordinal,0.4913432431029436,0.7098598046523646,0.9561244869980425,"0.6789,0.7408"
large_q2000_k3_dkvmn_softmax,,,2.7916494877498587e-17,"nan,nan"
large_q2000_k3_dynamic_gpcm,0.3226518915695931,0.940216929727231,0.003829448510787718,"0.9360,0.9444"
large_q2000_k3_static_gpcm,0.04933334359165458,0.9164746258379395,0.0626252737191563,"0.9123,0.9207"
large_q2000_k4_dkvmn_ordinal,-0.004017823611558716,0.0012787383593349001,0.9794245499867512,"0.0027,-0.0054,0.0066"
large_q2000_k4_dkvmn_softmax,,,4.630398387078368e-17,"nan,nan,nan"
large_q2000_k5_dkvmn_ordinal,0.35122594226537884,0.9236154808700886,0.9677078652794189,"0.9029,0.9378,0.9371,0.9166"
large_q2000_k5_dkvmn_softmax,,,-2.7916494877498587e-17,"nan,nan,nan,nan"
large_q2000_k5_dynamic_gpcm,0.10908631725676353,0.9402173468229866,0.023661724485664015,"0.9267,0.9477,0.9491,0.9374"
large_q2000_k5_static_gpcm,0.029787269238773766,0.866276995495295,0.06124149014480854,"0.8478,0.8704,0.8755,0.8714"
large_q2000_k6_dkvmn_ordinal,0.2815547247437445,0.9331163777615104,0.9729069009817941,"0.9116,0.9443,0.9467,0.9404,0.9226"
large_q2000_k6_dkvmn_softmax,,,,"nan,nan,nan,nan,nan"
large_q2000_k6_dynamic_gpcm,0.0817062708522019,0.9424707760011337,-0.011573555396770734,"0.9232,0.9475,0.9538,0.9511,0.9367"
large_q2000_k6_static_gpcm,0.027322460200091624,0.8493020853923892,0.0598987606776283,"0.8198,0.8495,0.8621,0.8597,0.8554"
large_q200_k2_dkvmn_ordinal,0.8109519628914498,0.806213658833006,0.8838202065556129,0.8062
large_q200_k2_dkvmn_softmax,,,-4.630398387078368e-17,nan
large_q200_k2_dynamic_gpcm,0.5543097367575103,0.9808938260382651,0.05263421615758778,0.9809
large_q200_k2_static_gpcm,0.681078634770105,0.986423490646155,0.5882603558981362,0.9864
large_q200_k3_dkvmn_ordinal,0.754450796341483,0.8159802888292385,0.9169348348194615,"0.8143,0.8177"
large_q200_k3_dkvmn_softmax,,,,"nan,nan"
large_q200_k3_dynamic_gpcm,0.6450011719899625,0.9756093873031587,0.04689031304415573,"0.9762,0.9751"
large_q200_k3_static_gpcm,0.7003538571823736,0.9886001159742233,0.5985394735011562,"0.9904,0.9868"
large_q200_k4_dkvmn_ordinal,0.7068794682655629,0.9183753035482191,0.9385913712513304,"0.9225,0.9292,0.9034"
large_q200_k4_dkvmn_softmax,,,-4.630398387078368e-17,"nan,nan,nan"
large_q200_k4_dynamic_gpcm,0.7003006248371495,0.9661463666442164,0.05719699284725348,"0.9582,0.9728,0.9674"
large_q200_k4_static_gpcm,0.6055825310172818,0.9829269970153277,0.5795848223019702,"0.9777,0.9871,0.9840"
large_q200_k5_dkvmn_ordinal,0.745623614546066,0.9121783046470278,0.945839681345151,"0.9133,0.9286,0.9215,0.8853"
large_q200_k5_dkvmn_softmax,,,,"nan,nan,nan,nan"
large_q200_k5_dynamic_gpcm,0.6943090365005556,0.9654727012372533,0.06320018366211892,"0.9612,0.9713,0.9731,0.9563"
large_q200_k5_static_gpcm,0.6984555591130602,0.9848121937005672,0.6170638232410582,"0.9796,0.9866,0.9911,0.9819"
large_q200_k6_dkvmn_ordinal,0.7594400762220402,0.9268976675621416,0.9480336899836683,"0.9413,0.9467,0.9341,0.9144,0.8980"
large_q200_k6_dkvmn_softmax,,,,"nan,nan,nan,nan,nan"
large_q200_k6_dynamic_gpcm,0.5228674189438047,0.9604820804913989,0.06559913645887124,"0.9633,0.9709,0.9658,0.9586,0.9438"
large_q200_k6_static_gpcm,0.5393589108473055,0.9836765680989442,0.6052257072556975,"0.9771,0.9852,0.9900,0.9897,0.9764"
large_q500_k2_dkvmn_ordinal,0.7413967018789219,0.7375542790006121,0.8671731899823395,0.7376
large_q500_k2_dkvmn_softmax,,,4.630398387078368e-17,nan
large_q500_k2_dynamic_gpcm,0.4416768833363925,0.9724989936932654,0.015363975046161221,0.9725
large_q500_k2_static_gpcm,0.1485042741699618,0.9638411746864641,0.0582234888294089,0.9638
large_q500_k3_dkvmn_ordinal,0.7556562600993649,0.8565193995589686,0.9180006691458034,"0.8593,0.8538"
large_q500_k3_dkvmn_softmax,,,4.630398387078368e-17,"nan,nan"
large_q500_k3_dynamic_gpcm,0.5196925586755661,0.9598331518018692,0.015796587211025098,"0.9578,0.9618"
large_q500_k3_static_gpcm,0.10473705037241818,0.9442449116177599,0.06104628878569377,"0.9425,0.9460"
large_q500_k4_dkvmn_ordinal,0.7848788878065496,0.9016730395822051,0.9379171305770558,"0.9032,0.9171,0.8847"
large_q500_k4_dkvmn_softmax,,,,"nan,nan,nan"
large_q500_k4_dynamic_gpcm,0.5426653038116844,0.9512510617878944,0.018359521898413254,"0.9425,0.9572,0.9540"
large_q500_k4_static_gpcm,0.1147018998521417,0.9149511953226624,0.062650517496543,"0.9106,0.9173,0.9169"
large_q500_k5_dkvmn_ordinal,0.6864224452473394,0.9144082542537337,0.9451639925861418,"0.8867,0.9267,0.9359,0.9083"
large_q500_k5_dkvmn_softmax,,,4.630398387078368e-17,"nan,nan,nan,nan"
large_q500_k5_dynamic_gpcm,0.3797684798772819,0.9555201177792498,0.025498033568813937,"0.9484,0.9644,0.9622,0.9471"
large_q500_k5_static_gpcm,0.07284003566968458,0.8861483991090923,0.06163355201589676,"0.8825,0.8892,0.8905,0.8823"
large_q500_k6_dkvmn_ordinal,0.5771941816340987,0.9343597745301231,0.9520923101581487,"0.9149,0.9465,0.9472,0.9354,0.9278"
large_q500_k6_dkvmn_softmax,,,4.630398387078368e-17,"nan,nan,nan,nan,nan"
large_q500_k6_dynamic_gpcm,0.25710705051178023,0.9475674267335249,0.02737605408466206,"0.9392,0.9536,0.9554,0.9520,0.9377"
large_q500_k6_static_gpcm,0.06358011821752704,0.8608757303357824,0.06029125409180282,"0.8549,0.8576,0.8635,0.8678,0.8606"
