experiment,model,K,r_alpha,r_beta_mean,alpha_mean,alpha_std
large_q200_k2_static_gpcm,static_gpcm,2,0.18254909503221364,0.9600150989418191,0.8194910287857056,0.026806481182575226
large_q200_k2_dynamic_gpcm,dynamic_gpcm,2,0.48984057199017705,0.9715338223894784,0.9829660058021545,0.06846576184034348
large_q200_k3_static_gpcm,static_gpcm,3,0.15475744445819847,0.9403895865237863,0.8197572231292725,0.029418719932436943
large_q200_k3_dynamic_gpcm,dynamic_gpcm,3,0.5783599176107378,0.9623962947824032,0.9540493488311768,0.05422484129667282
large_q200_k4_static_gpcm,static_gpcm,4,0.14585484497602014,0.9006792602385771,0.8183815479278564,0.026559513062238693
large_q200_k4_dynamic_gpcm,dynamic_gpcm,4,0.6344684962634722,0.949248523774108,0.8962947130203247,0.036262162029743195
large_q200_k5_static_gpcm,static_gpcm,5,0.1205205439068897,0.8786684793719044,0.8225787878036499,0.02565305121243
large_q200_k5_dynamic_gpcm,dynamic_gpcm,5,0.454439368208689,0.9556143759966342,0.8642194867134094,0.03478735685348511
large_q200_k6_static_gpcm,static_gpcm,6,0.10759184329795919,0.8431909805048644,0.823647141456604,0.02517874725162983
large_q200_k6_dynamic_gpcm,dynamic_gpcm,6,0.24580752246116547,0.9477439823025333,0.8420126438140869,0.03173815459012985
