experiment,best_epoch,qwk,acc,tau
q1000_k2_linear_decay,6,0.4121668934822082,0.7061590552330017,0.2599816268357413
q1000_k2_separable,9,0.4174803793430328,0.7087520956993103,0.2630329424236649
q1000_k2_static_item,7,0.4223620295524597,0.711204469203949,0.2657529888643838
q1000_k3_linear_decay,11,0.5971989631652832,0.5944649577140808,0.4333670158545771
q1000_k3_separable,9,0.5983547568321228,0.5929397344589233,0.434985128623068
q1000_k3_static_item,14,0.5995331406593323,0.5973749756813049,0.43397073597914
q1000_k4_linear_decay,10,0.6908769607543945,0.5337870121002197,0.5203560372248293
q1000_k4_separable,12,0.6960572004318237,0.5364771485328674,0.5228901623622221
q1000_k4_static_item,10,0.6934590339660645,0.5354533195495605,0.5202779612765436
q1000_k5_linear_decay,11,0.7543680667877197,0.4950735569000244,0.5738109776043977
q1000_k5_separable,15,0.7537468075752258,0.4967591762542724,0.5722718770280076
q1000_k5_static_item,12,0.752518355846405,0.4969799220561981,0.5707669007668169
q1000_k6_linear_decay,8,0.7892526388168335,0.465824156999588,0.6055296621931119
q1000_k6_separable,13,0.7900357246398926,0.4675922095775604,0.605635251744844
q1000_k6_static_item,15,0.7894530892372131,0.4653419554233551,0.605651058073503
q2000_k2_linear_decay,3,0.4153280258178711,0.7076796293258667,0.2618208035218518
q2000_k2_separable,7,0.4216728806495666,0.7108606696128845,0.2653671057782385
q2000_k2_static_item,7,0.4287095367908478,0.7143558263778687,0.2693130277661388
q2000_k3_linear_decay,10,0.5955659747123718,0.5941389799118042,0.4314002914222581
q2000_k3_separable,14,0.6076271533966064,0.6005292534828186,0.4397955366209136
q2000_k3_static_item,12,0.6129354238510132,0.6061550378799438,0.4420756359384309
q2000_k4_linear_decay,14,0.6868069171905518,0.5311523675918579,0.5157891150955041
q2000_k4_separable,13,0.6994946002960205,0.5341192483901978,0.5251968345559758
q2000_k4_static_item,10,0.7001032829284668,0.538756251335144,0.5238450964542902
q2000_k5_linear_decay,15,0.754716157913208,0.4979850947856903,0.5727678523953748
q2000_k5_separable,15,0.7587973475456238,0.4994004368782043,0.5753736355439105
q2000_k5_static_item,14,0.7628876566886902,0.5046097040176392,0.577459076007833
q2000_k6_linear_decay,13,0.7967162728309631,0.4673510491847992,0.6106423647108893
q2000_k6_separable,12,0.79988694190979,0.472640722990036,0.6118286390915202
q2000_k6_static_item,13,0.8017898797988892,0.4755598306655884,0.6129710282707994
q200_k2_linear_decay,15,0.4059631824493408,0.7038207054138184,0.2557202801276332
q200_k2_separable,9,0.4100745916366577,0.7054503560066223,0.2584609868138225
q200_k2_static_item,14,0.4100954234600067,0.7057924270629883,0.2581375268224328
q200_k3_linear_decay,9,0.5916988849639893,0.5967618227005005,0.4298778129151627
q200_k3_separable,8,0.5925174355506897,0.5954529047012329,0.4306451436915883
q200_k3_static_item,9,0.5923705697059631,0.5955334305763245,0.429901715698388
q200_k4_focal_only,7,0.6786156296730042,0.529017448425293,0.5074985091906292
q200_k4_linear_decay,7,0.6836820244789124,0.5227771401405334,0.5154739821264026
q200_k4_separable,12,0.684109628200531,0.5291986465454102,0.5146653179238574
q200_k4_static_item,11,0.6824821829795837,0.5287960171699524,0.5129629471077942
q200_k4_unconstrained,8,0.6789152026176453,0.529158353805542,0.5100541448645453
q200_k4_wol_only,11,0.6842036247253418,0.5257765054702759,0.516215512290968
q200_k5_linear_decay,11,0.7598671317100525,0.5080721378326416,0.5754833006345279
q200_k5_separable,13,0.7615395784378052,0.5094225406646729,0.5777219271663928
q200_k5_static_item,13,0.7587974071502686,0.5067217350006104,0.5758457878143265
q200_k6_linear_decay,11,0.7948830127716064,0.4768363833427429,0.610930851220719
q200_k6_separable,11,0.7946946620941162,0.4721070528030395,0.6106022662866097
q200_k6_static_item,15,0.791377067565918,0.470134824514389,0.609197297011162
q500_k2_linear_decay,15,0.4275083839893341,0.7145273089408875,0.2678097518733064
q500_k2_separable,9,0.4311688244342804,0.7161177396774292,0.2700938678638898
q500_k2_static_item,13,0.4323581755161285,0.7167217135429382,0.2707402428439688
q500_k3_linear_decay,11,0.6061661243438721,0.6014490127563477,0.4384927291511826
q500_k3_separable,14,0.6084650754928589,0.6052525639533997,0.4390039934815817
q500_k3_static_item,11,0.6075078845024109,0.604306697845459,0.4373846308218939
q500_k4_linear_decay,10,0.6971281170845032,0.5352120995521545,0.5233251047772324
q500_k4_separable,12,0.7010774612426758,0.5386366248130798,0.5250313369162528
q500_k4_static_item,15,0.6985456943511963,0.5382941961288452,0.5233661676517908
q500_k5_linear_decay,13,0.7616833448410034,0.5075380206108093,0.5778441825797125
q500_k5_separable,15,0.7617923617362976,0.509025514125824,0.5778576282529289
q500_k5_static_item,13,0.7604564428329468,0.5058093070983887,0.5771708040642025
q500_k6_linear_decay,10,0.7976438403129578,0.4781324565410614,0.6116579153825008
q500_k6_separable,14,0.7983859181404114,0.4777105748653412,0.6127613996443573
q500_k6_static_item,13,0.7959099411964417,0.4783534705638885,0.6103392934308692
