epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,val_kendall_tau,lr,epoch_time_s
1,1.6715554356575013,0.2507336770920117,1.2398220446705819,1.2376342645058265,0.39577195048332214,0.8677585124969482,0.5430801510810852,0.7447566986083984,0.5417483448982239,0.4379896032864268,0.001,184.1
2,1.1228932428359986,0.48398669999174376,0.4193213474750519,1.070273151764503,0.5023761987686157,0.8969502449035645,0.6810086369514465,0.609589159488678,0.6537081003189087,0.524394756693165,0.001,187.98
3,1.0343815767765046,0.5257756461737457,0.43504230827093127,1.0499614843955407,0.5144141912460327,0.8975688219070435,0.6921975016593933,0.597295880317688,0.6742755174636841,0.5319271150650763,0.001,191.38
4,1.0177204167842866,0.533381369480534,0.6034138441085816,1.0467907878068776,0.5176053643226624,0.8965083956718445,0.6942078471183777,0.5959212183952332,0.6745292544364929,0.5321550820175617,0.001,187.85
5,1.009621295928955,0.5365737717632518,0.606587920486927,1.0432288096501277,0.5237421989440918,0.8933663368225098,0.6967037916183472,0.5943894386291504,0.6776615977287292,0.53088496272366,0.001,172.19
6,1.0030842483043672,0.5406093085046497,0.40891049325466156,1.0332188193614666,0.5296630263328552,0.8934153914451599,0.7019931077957153,0.5886846780776978,0.6799790263175964,0.5312675270984318,0.001,197.61
7,0.9994370567798615,0.5433038361366929,0.4430877181887627,1.0367568318660443,0.5292113423347473,0.891363263130188,0.7001943588256836,0.5920917987823486,0.6847723722457886,0.5294679335356766,0.001,184.38
8,0.9961438953876496,0.5456631114913972,0.4075158575177193,1.035327558334057,0.5303110480308533,0.890597403049469,0.699478268623352,0.5923569202423096,0.6804237961769104,0.5285371611060118,0.001,194.82
9,0.9926218688488007,0.5476571119767625,0.3553595775365829,1.036658993134132,0.531999945640564,0.8871509432792664,0.698497474193573,0.5952240824699402,0.6771143078804016,0.5264632512000536,0.001,181.15
10,0.9911083996295929,0.548472725726109,0.46056098014116287,1.0391314350641692,0.531666100025177,0.8874651193618774,0.697853684425354,0.5952829718589783,0.6811788082122803,0.5266058976702149,0.001,193.69
11,0.989375913143158,0.5499763572087997,0.4634641493856907,1.0367583219821637,0.5309394598007202,0.8886139392852783,0.6985229253768921,0.5944581627845764,0.6769729256629944,0.5265918566061016,0.001,169.37
12,0.9857825148105621,0.550877034968814,0.3818610417842865,1.036300553725316,0.532098114490509,0.8872000575065613,0.6980573534965515,0.5952731370925903,0.6832296252250671,0.5257671090726823,0.001,186.94
13,0.9837284851074218,0.5523631532728378,0.33992507323622706,1.0389660505148082,0.5318329930305481,0.8859824538230896,0.696508526802063,0.5968441963195801,0.6816033720970154,0.5247103213760566,0.001,181.71
14,0.980498526096344,0.5528785411021794,0.41035618126392365,1.0387125978103051,0.5316365957260132,0.8859922885894775,0.695726215839386,0.5974529385566711,0.6808194518089294,0.5243393625250931,0.001,164.12
15,0.9737117397785187,0.5538918035821956,0.35771279528737066,1.0403372324430025,0.5312438607215881,0.8869839906692505,0.6955652832984924,0.5967165231704712,0.6748082637786865,0.5247449956062614,0.001,178.8
