epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,lr,epoch_time_s
1,0.7228772488851396,0.3950294961734694,0.37142851972390734,0.5755518600344658,0.4944944381713867,0.8665177226066589,0.6445900797843933,0.6575276255607605,0.6270817518234253,0.001,22.96
2,0.5593263005453443,0.5055305325255102,0.07853207565725796,0.5517117977142334,0.509531557559967,0.8683294057846069,0.6626693606376648,0.6415644884109497,0.6331917643547058,0.001,22.7
3,0.5448593062067789,0.5175183354591837,0.07498563311639286,0.543570026755333,0.5174829363822937,0.8637598752975464,0.6661224365234375,0.6413229703903198,0.6345840692520142,0.001,23.87
4,0.5382260169301715,0.5242745535714286,0.07452891418148601,0.5375385321676731,0.5231596231460571,0.8638001680374146,0.6699839234352112,0.636149525642395,0.6298750042915344,0.001,24.05
5,0.5329096989026145,0.5268305564413265,0.09354333141966471,0.535614050924778,0.5248907804489136,0.8671417236328125,0.6738611459732056,0.63039231300354,0.6439476013183594,0.001,27.65
6,0.5299849292588612,0.529052734375,0.15097522954382595,0.5318104587495327,0.5275882482528687,0.8703826665878296,0.6780771017074585,0.6228637099266052,0.6428959369659424,0.001,25.35
7,0.5284240633722336,0.5303730867346939,0.1665915163263442,0.5304657630622387,0.529017448425293,0.8703625202178955,0.6786156296730042,0.6212331652641296,0.639492928981781,0.001,30.11
8,0.5264763089399489,0.5314841757015306,0.1952522634159005,0.5317822620272636,0.5278096795082092,0.8666988611221313,0.6731998324394226,0.6277351975440979,0.6282398700714111,0.001,29.73
9,0.5257292966994028,0.5322614397321429,0.19637373302664077,0.527955062687397,0.5307285189628601,0.8700404763221741,0.6782692670822144,0.6206896305084229,0.6382039785385132,0.001,27.83
10,0.5243460488697839,0.5330287388392857,0.18205418071103474,0.5277889221906662,0.5295609831809998,0.8695774674415588,0.676505982875824,0.6232461929321289,0.6336196064949036,0.001,27.83
11,0.5233840299031091,0.5347476881377551,0.16933066717215947,0.5295234844088554,0.5280511975288391,0.8667190074920654,0.6742347478866577,0.6292046904563904,0.6434929966926575,0.001,28.77
12,0.5226132065530807,0.5344686702806123,0.18789925597726354,0.5286853238940239,0.5297421216964722,0.8703222870826721,0.6768379807472229,0.622259795665741,0.6477727890014648,0.001,25.95
13,0.5224789962882087,0.5346081792091837,0.2252851307155594,0.5267233103513718,0.5306278467178345,0.8683696389198303,0.674827516078949,0.6238701939582825,0.6315935850143433,0.001,24.94
14,0.5220029089185927,0.5350117586096939,0.20463630149052256,0.5272194445133209,0.5314934253692627,0.8664170503616333,0.6720889210700989,0.6264266967773438,0.6257800459861755,0.001,24.64
15,0.5213225715690188,0.5356843909438775,0.191851318296459,0.5253716520965099,0.5323389172554016,0.8662359118461609,0.6741765737533569,0.625903308391571,0.6326563358306885,0.001,23.69
