epoch,train_loss,train_accuracy,train_grad_norm,val_loss,val_categorical_accuracy,val_ordinal_accuracy,val_qwk,val_mae,val_spearman,val_kendall_tau,lr,epoch_time_s
1,1.4559729528427123,0.40013208651666843,0.17859029747545718,1.4226812582749586,0.41400018334388733,0.6231801509857178,0.4168035686016083,1.3216028213500977,0.3809393346309662,0.31667159270223105,0.001,45.63
2,1.4046754908561707,0.423119643366405,0.08555417582392692,1.3848777550917406,0.4294307827949524,0.6423630714416504,0.45936357975006104,1.2541687488555908,0.4215320348739624,0.34700681023107494,0.001,42.94
3,1.3481980991363525,0.4438982533559481,0.08454251438379287,1.3100355588472807,0.45578524470329285,0.6889291405677795,0.54891037940979,1.1007641553878784,0.49510088562965393,0.40902182621129857,0.001,44.53
4,1.2652539563179017,0.47104603515302523,0.07496249839663506,1.2332836297842174,0.4801802635192871,0.7487802505493164,0.64603191614151,0.9234544634819031,0.603262722492218,0.48144410597304516,0.001,43.16
5,1.200119013786316,0.49110167159489465,0.090913922265172,1.186387456380404,0.4958459734916687,0.7808660864830017,0.6958630681037903,0.8346821069717407,0.6550799012184143,0.5192768712993168,0.001,42.87
6,1.1616401290893554,0.5051458705452071,0.0985880172252655,1.1610131630530725,0.5057509541511536,0.793367326259613,0.7184175252914429,0.7952287793159485,0.677554190158844,0.5340251079801391,0.001,43.28
7,1.140205957889557,0.5118152389815329,0.13181440010666848,1.149199284040011,0.5082002282142639,0.8088958263397217,0.7359079122543335,0.7607230544090271,0.6863687038421631,0.550479431589898,0.001,42.93
8,1.1279473829269409,0.5155902115885905,0.1649315159022808,1.1397776236900916,0.5108944773674011,0.806397557258606,0.7369059920310974,0.7623689770698547,0.687002420425415,0.5494361950194805,0.001,44.79
9,1.1205325317382813,0.5178066633645038,0.2112320949882269,1.1353106773816621,0.5127853155136108,0.8114235401153564,0.7417211532592773,0.7519251704216003,0.6919403672218323,0.5537263318421585,0.001,43.92
10,1.1146502125263213,0.519655374270147,0.15188180193305015,1.133495174921476,0.5124914050102234,0.8103654384613037,0.7433330416679382,0.7499755024909973,0.6955407857894897,0.5538390882572545,0.001,43.84
11,1.1107981038093566,0.5209537246896717,0.18161125242710113,1.1297194407536433,0.5145586133003235,0.818007230758667,0.7489556074142456,0.7373077273368835,0.6991510987281799,0.5612003680428463,0.001,43.84
12,1.1081585526466369,0.5217917736117157,0.16322708651423454,1.1299091760928814,0.5141177773475647,0.8162829279899597,0.7476539015769958,0.7405800223350525,0.7008552551269531,0.5591830559514044,0.001,43.58
13,1.1055417895317077,0.5229425273554178,0.14764586851000785,1.128013748389024,0.5148525238037109,0.8197119832038879,0.7517238855361938,0.7315763831138611,0.7011438608169556,0.5626308576530058,0.001,43.55
14,1.1036354756355287,0.5233377862499937,0.1747557543218136,1.1279945832032423,0.5146958231925964,0.8176153898239136,0.7505213618278503,0.7349956035614014,0.6985353231430054,0.561519742002043,0.001,43.19
15,1.102078275680542,0.5236079632159064,0.1915769349038601,1.1270400744218092,0.5158714652061462,0.8179680705070496,0.7512245774269104,0.7330165505409241,0.6987268924713135,0.561387558441347,0.001,43.05
